id,phase,priority,title,dependencies,touchpoints,done_when,status
P04-T01_CLAIM_EXTRACTION_MODEL,P04,P0,Claim extraction ve manuscript anchor modeli,P03-T03_RUBRIC_REGISTRY_AND_DIMENSION_SCHEMA,api/models/review.py;engine/ingestion/common.py;api/services/anchor_finder.py;tests/unit/test_anchor_finder.py,Rapor eleştirileri manuscript anchor id’ye bağlanabiliyor.,not_started
P04-T02_REFERENCE_RESOLUTION_PIPELINE,P04,P0,Reference extraction ve DOI/provider resolution pipeline,P02-T04_OPENALEX_API_KEY_MIGRATION,engine/ingestion/*;api/services/review_citation_service.py;api/providers/*;tests/unit/test_review_citation.py,Atıflar provider ve confidence ile çözümleniyor.,not_started
P04-T03_CLAIM_EVIDENCE_ALIGNMENT,P04,P0,Claim-evidence alignment ve citation support levels,P04-T01_CLAIM_EXTRACTION_MODEL;P04-T02_REFERENCE_RESOLUTION_PIPELINE,api/models/review.py;api/services/review_citation_service.py;api/services/review_orchestration.py;web/src/components/review/ReviewReportView.tsx,Citation integrity bulguları kaynak doğrulama seviyesini gösteriyor.,not_started
P04-T04_LITERATURE_COVERAGE_AND_GAP_MAP,P04,P1,"Literature coverage, seminal/recent/missing works ve gap map",P04-T02_REFERENCE_RESOLUTION_PIPELINE,api/services/gap_profile_workshop_service.py;api/services/originality_service.py;api/services/review_citation_service.py;web/src/components/project/GapHeatmapCard.tsx,"Literature critique “daha kaynak ekle” değil, hangi boşluk türü olduğunu söylüyor.",not_started
P05-T01_PREMIUM_LANDING_REPOSITIONING,P05,P0,Landing page’i Arbitra Scientific Review OS olarak yeniden konumlandır,P01-T03_CONFIDENTIALITY_AND_EXTERNAL_AI_CONSENT;P00-T01_BRAND_AND_PRODUCT_CONTRACT,web/src/app/(marketing)/landing/page.tsx;web/src/components/marketing/WaitlistModal.tsx;web/src/lib/brand.ts;web/src/styles/globals.css,"Landing AI assistant template değil, hakemlik OS vaadi veriyor.",not_started
P05-T02_REVIEW_INTAKE_WIZARD,P05,P0,Tek upload formunu guided review wizard’a çevir,P02-T01_REVIEW_JOB_STAGE_SCHEMA;P01-T03_CONFIDENTIALITY_AND_EXTERNAL_AI_CONSENT,web/src/app/(app)/review/page.tsx;web/src/lib/review-api.ts;web/src/hooks/useReview.ts;api/routes/review.py,"Yeni başlayan tek akışla review başlatır, uzman detay kontrolü alır.",not_started
P05-T03_LIVE_REVIEW_COCKPIT_PROGRESS,P05,P0,Spinner yerine canlı review cockpit progress,P02-T01_REVIEW_JOB_STAGE_SCHEMA,web/src/app/(app)/review/[jobId]/page.tsx;web/src/hooks/useReview.ts;web/src/components/review/ReviewReportView.tsx;api/routes/review.py,Kullanıcı beklerken sistemin ne yaptığını ve ne bulduğunu görüyor.,not_started
P05-T04_DESIGN_SYSTEM_PREMIUM_TOKENS,P05,P1,Premium visual system tokens ve component kuralları,P05-T01_PREMIUM_LANDING_REPOSITIONING,web/src/styles/globals.css;web/src/components/ui/button.tsx;web/src/components/Card.tsx;docs/frontend/COMPONENT_RULES.md,UI parçaları random Tailwind değil tutarlı product language taşıyor.,not_started
P06-T01_REVIEW_REPORT_SCHEMA_V2,P06,P0,"ReviewReport v2: verdict, risk, council, evidence, action plan",P03-T03_RUBRIC_REGISTRY_AND_DIMENSION_SCHEMA;P04-T03_CLAIM_EVIDENCE_ALIGNMENT,api/models/review.py;api/services/review_orchestration.py;web/src/lib/review-api.ts;web/src/components/review/ReviewReportView.tsx,Rapor yapısal olarak cockpit’e hizmet ediyor.,not_started
P06-T02_REVIEWER_COUNCIL_ENGINE,P06,P0,Persona modüllerini Reviewer Council Engine’e dönüştür,P06-T01_REVIEW_REPORT_SCHEMA_V2,api/services/review_orchestration.py;api/services/role_modules/*;engine/personas/review/*,Persona outputları serbest metin değil birleşebilir structured findings üretiyor.,not_started
P06-T03_ACTION_PLAN_AND_REVISION_TASKS,P06,P0,P0/P1/P2 revision action plan ve task modeli,P06-T01_REVIEW_REPORT_SCHEMA_V2,api/models/review.py;web/src/components/review/ReviewReportView.tsx;web/src/app/(app)/review/[jobId]/page.tsx,Kullanıcı rapordan doğrudan revizyon planı çıkarabiliyor.,not_started
P06-T04_EXPORTS_AND_RESPONSE_TO_REVIEWERS,P06,P1,PDF/DOCX/Markdown/LaTeX export ve response-to-reviewers assistant,P06-T03_ACTION_PLAN_AND_REVISION_TASKS,api/routes/review.py;api/services/review_service.py;web/src/components/review/ReviewReportView.tsx;web/src/lib/review-api.ts,Rapor dış dünyada kullanılabilir çıktı formatlarına dönüşüyor.,not_started
P07-T01_GOLDSET_AND_EVAL_SCHEMA,P07,P0,Goldset ve eval schema’yı dünya klası metriklerle genişlet,P06-T01_REVIEW_REPORT_SCHEMA_V2,eval/review/goldset.json;eval/review/schema.py;eval/review/metrics.py;eval/review/README.md,Eval sadece skor değil akademik kalite boyutlarını ölçüyor.,not_started
P07-T02_RELEASE_EVAL_GATE,P07,P0,Release eval gate ve regression thresholdları,P07-T01_GOLDSET_AND_EVAL_SCHEMA,eval/review/run_eval.py;.github/workflows/polish_gate.yml;config/faithfulness_thresholds.yaml,Yeni prompt/model değişikliği kaliteyi düşürürse yakalanıyor.,not_started
P07-T03_HUMAN_EXPERT_REVIEW_LOOP,P07,P1,Human expert feedback loop ve calibration workflow,P07-T01_GOLDSET_AND_EVAL_SCHEMA,eval/review/build_goldset.py;docs/worldclass/TEMPLATES/eval_card_template.md;api/models/review.py,Akademik kalite insan uzman kıyasına bağlanabilir.,not_started
P08-T01_LANGUAGE_CONFIG_MODEL,P08,P0,"Source language, output language ve UI locale ayrımı",P06-T01_REVIEW_REPORT_SCHEMA_V2,api/models/review.py;web/src/lib/review-api.ts;web/src/lib/i18n/*;api/services/translator.py,100 dil vizyonu teknik olarak iki literal ile sınırlı değil.,not_started
P08-T02_TENANT_AND_ENTERPRISE_BOUNDARIES,P08,P1,Tenant/institution boundary ve enterprise deployment temeli,P01-T02_OBJECT_LEVEL_AUTHORIZATION_MATRIX,api/models/*;api/middleware/auth.py;api/db/supabase_client.py;db/migrations/*,Kurumsal kullanıcı için veri sınırı ve provider policy uygulanabiliyor.,not_started
P09-T01_OBSERVABILITY_AND_AUDIT_RUNBOOKS,P09,P0,"Review OS observability, audit ve runbook seti",P02-T02_DURABLE_WORKFLOW_ADAPTER;P01-T03_CONFIDENTIALITY_AND_EXTERNAL_AI_CONSENT,api/middleware/sentry.py;api/services/review_service.py;docs/runbook/*;docs/worldclass/SPECS/observability_runbook_spec.md,Production incident olduğunda neye bakılacağı belli.,not_started
P09-T02_PRODUCTION_READINESS_AND_LAUNCH_GATE,P09,P0,Production readiness ve launch gate,P07-T02_RELEASE_EVAL_GATE;P09-T01_OBSERVABILITY_AND_AUDIT_RUNBOOKS;P05-T03_LIVE_REVIEW_COCKPIT_PROGRESS,docs/worldclass/CHECKLISTS/RELEASE_GATE.md;deploy/render.yaml;Dockerfile;web/Dockerfile;.env.example,Launch kararı sezgiyle değil gate raporuyla veriliyor.,not_started
